"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"repr","repr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1.4",NA,"R (>= 3.0.1)","utils, grDevices, htmltools, jsonlite, pillar (>= 1.4.0),
base64enc",NA,"methods, highr, Cairo, stringr, testthat (>= 3.0.0), leaflet","data.table, tibble, htmlwidgets, vegalite, plotly, geojsonio","GPL-3",NA,NA,NA,NA,"no","4.1.2"
"reprex","reprex","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.0.1",NA,"R (>= 3.3)","callr (>= 3.6.0), cli (>= 2.3.1), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), rlang (>= 0.4.0), rmarkdown, rstudioapi,
utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, mockr, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"reshape","reshape","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.8.8",NA,"R (>= 2.6.1)","plyr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"reshape2","reshape2","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"rlang","rlang","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.2",NA,"R (>= 3.4.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"rmarkdown","rmarkdown","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.11",NA,"R (>= 3.0)","tools, utils, knitr (>= 1.22), yaml (>= 2.1.19), htmltools (>=
0.3.5), evaluate (>= 0.13), jsonlite, tinytex (>= 0.31), xfun
(>= 0.21), jquerylib, methods, stringr (>= 1.2.0)",NA,"shiny (>= 1.6.0), tufte, testthat (>= 3.0.0), digest,
dygraphs, vctrs, tibble, fs, rsconnect, withr (>= 2.4.2), bslib
(>= 0.2.5.1), sass (>= 0.4.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"Rmpfr","Rmpfr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.8-7",NA,"gmp (>= 0.6-1), R (>= 3.5.0)","stats, utils, methods",NA,"MASS, Bessel, polynom, sfsmisc (>= 1.0-20), Matrix","dfoptim, pracma","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"robustbase","robustbase","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.95-0",NA,"R (>= 3.5.0)","stats, graphics, utils, methods, DEoptimR",NA,"grid, MASS, lattice, boot, cluster, Matrix, robust,
fit.models, MPV, xtable, ggplot2, GGally, RColorBrewer,
reshape2, sfsmisc, catdata, doParallel, foreach, skewt","robustX, rrcov, matrixStats, quantreg, Hmisc","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"roxygen2","roxygen2","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","7.1.2",NA,"R (>= 3.3)","brew, commonmark, desc (>= 1.2.0), digest, knitr, methods,
pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>= 2.1.2), rlang,
stringi, stringr (>= 1.0.0), utils, xml2","cpp11","covr, devtools, rmarkdown, testthat (>= 2.1.0), R.methodsS3,
R.oo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"rpart","rpart","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.1-15","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"rprojroot","rprojroot","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.0.2",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rsconnect","rsconnect","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.8.25",NA,"R (>= 3.0.0)","curl, digest, jsonlite, openssl, packrat (>= 0.6), rstudioapi
(>= 0.5), tools, yaml (>= 2.1.5)",NA,"RCurl, callr, httpuv, knitr, plumber (>= 0.3.2), reticulate,
rmarkdown (>= 1.1), shiny, sourcetools, testthat, xtable",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.2"
"RSQLite","RSQLite","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.2.9",NA,"R (>= 3.1.0)","bit64, blob (>= 1.2.0), DBI (>= 1.1.0), memoise, methods,
pkgconfig, Rcpp (>= 1.0.7)","plogr (>= 0.2.0), Rcpp","DBItest (>= 1.7.0), gert, gh, knitr, rmarkdown, hms, rvest,
testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.1.0"
"rstatix","rstatix","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.7.0",NA,"R (>= 3.3.0)","stats, utils, tidyr (>= 1.0.0), purrr, broom (>= 0.7.4), rlang
(>= 0.3.1), tibble (>= 2.1.3), dplyr (>= 0.7.1), magrittr,
corrplot, tidyselect (>= 1.0.0), car, generics (>= 0.0.2)",NA,"knitr, rmarkdown, ggpubr, graphics, emmeans, coin, boot,
testthat, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"rstudioapi","rstudioapi","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.13",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"Rttf2pt1","Rttf2pt1","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.3.9",NA,"R (>= 2.15)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.1.0"
"rversions","rversions","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.1.1",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rvest","rvest","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.2",NA,"R (>= 3.2)","httr (>= 0.5), lifecycle (>= 1.0.0), magrittr, rlang (>=
0.4.10), selectr, tibble, xml2 (>= 1.3)",NA,"covr, glue, knitr, readr, rmarkdown, repurrrsive, spelling,
stringi (>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"s2","s2","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.7",NA,"R (>= 3.0.0)","Rcpp, wk (>= 0.5.0)","Rcpp, wk","testthat, vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.1.0"
"S4Vectors","S4Vectors","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.32.3",NA,"R (>= 4.0.0), methods, utils, stats, stats4, BiocGenerics (>=
0.37.0)",NA,NA,"IRanges, GenomicRanges, SummarizedExperiment, Matrix,
DelayedArray, ShortRead, graph, data.table, RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.2"
"sampling","sampling","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.9",NA,NA,"MASS, lpSolve",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"sass","sass","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.4.1",NA,NA,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"satellite","satellite","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.4",NA,"R (>= 2.10), raster, methods, utils, stats, grDevices,
graphics","plyr, Rcpp (>= 0.10.3), terra, tools, stats4","Rcpp","devtools, knitr, rgdal, testthat, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"scales","scales","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1.1",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), testthat (>=
2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"scatterplot3d","scatterplot3d","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.3-41",NA,"R (>= 2.7.0)","grDevices, graphics, stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"see","see","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.6.9",NA,"graphics, grDevices, R (>= 3.4), stats","bayestestR (>= 0.11.5), datawizard (>= 0.2.2.9000), effectsize
(>= 0.5), ggplot2 (>= 3.3.5), insight (>= 0.14.5), parameters
(>= 0.15.0)",NA,"brms, coda, correlation, emmeans, factoextra, ggdist, ggraph,
ggrepel, ggridges, ggside, glmmTMB, grid, httr, lavaan, lme4,
logspline, MASS, mclust, metafor, modelbased, NbClust,
nFactors, patchwork, performance (>= 0.8.0), poorman, psych,
qqplotr, randomForest, rmarkdown, rstanarm, spelling, splines,
testthat (>= 3.1.0), tidygraph, tidyr, vdiffr",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.2"
"selectr","selectr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.1.0"
"servr","servr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.24",NA,"R (>= 3.0.0)","mime (>= 0.2), httpuv (>= 1.5.2), xfun, jsonlite",NA,"tools, later, rstudioapi, knitr (>= 1.9), rmarkdown",NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"sessioninfo","sessioninfo","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.2.2",NA,"R (>= 2.10)","cli (>= 3.1.0), tools, utils",NA,"callr, covr, mockery, reticulate, rmarkdown, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"sf","sf","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0-5",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), s2 (>= 1.0.7), stats, tools, units
(>= 0.6-0), utils","Rcpp","blob, covr, dplyr (>= 0.8-3), ggplot2, knitr, lwgeom (>=
0.2-1), maps, mapview, Matrix, microbenchmark, odbc, pillar,
pool, raster, rgdal, rgeos, rlang, rmarkdown, RPostgres (>=
1.1.0), RPostgreSQL, RSQLite, sp (>= 1.2-4), spatstat (>=
2.0-1), spatstat.geom, spatstat.core, spatstat.linnet,
spatstat.utils, stars (>= 0.2-0), terra, testthat, tibble (>=
1.4.1), tidyr (>= 1.0-0), tidyselect (>= 1.0.0), tmap (>= 2.0),
vctrs, wk",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"sfheaders","sfheaders","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.4.0",NA,NA,"geometries (>= 0.2.0), Rcpp","geometries, Rcpp","covr, knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"shape","shape","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.4.6",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"skimr","skimr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.1.4",NA,"R (>= 3.1.2)","cli, dplyr (>= 0.8.0), knitr (>= 1.2), magrittr (>= 1.5),
pillar (>= 1.6.4), purrr, repr, rlang (>= 0.3.1), stats,
stringr (>= 1.1), tibble (>= 2.0.0), tidyr (>= 1.0), tidyselect
(>= 1.0.0), vctrs",NA,"covr, crayon, data.table, dtplyr, extrafont, haven,
lubridate, rmarkdown, testthat (>= 2.0.0), withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.2"
"SmartEDA","SmartEDA","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.3.8",NA,"R (>= 3.3.0)","ggplot2, sampling, scales, rmarkdown, ISLR(>= 1.0),
data.table, gridExtra, GGally, qpdf",NA,"testthat,knitr,covr,psych,DataExplorer",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"snakecase","snakecase","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.11.0",NA,"R (>= 3.2)","stringr, stringi",NA,"testthat, covr, tibble, purrrlyr, knitr, rmarkdown, magrittr",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"sodium","sodium","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.2.0",NA,NA,NA,NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"sp","sp","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.4-6",NA,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 1.2-3), rgeos (>= 0.3-13), gstat,
maptools, deldir, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"SparseM","SparseM","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.81",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"spatial","spatial","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","7.3-14","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"splines","splines","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.1.2","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"SQUAREM","SQUAREM","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2021.1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"stats","stats","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.1.2","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"stats4","stats4","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.1.2","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 4.1.2",NA,NA,NA,NA,NA,"4.1.2"
"statsExpressions","statsExpressions","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.3.0",NA,"R (>= 4.0.0)","BayesFactor (>= 0.9.12-4.3), correlation (>= 0.7.1),
datawizard (>= 0.2.2), dplyr, effectsize (>= 0.6.0), glue,
insight (>= 0.15.0), magrittr, parameters (>= 0.16.0),
performance (>= 0.8.0), rlang, stats, tibble, tidyr, WRS2 (>=
1.1-3), zeallot",NA,"afex (>= 1.0-1), ggplot2, knitr, metaBMA, metafor, metaplus,
purrr, rmarkdown, spelling, survival, testthat, utils",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"stringi","stringi","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.7.6",NA,"R (>= 3.1)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.1.0"
"stringr","stringr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.4.0",NA,"R (>= 3.1)","glue (>= 1.2.0), magrittr, stringi (>= 1.1.7)",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"styler","styler","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.6.2",NA,NA,"backports (>= 1.1.0), cli (>= 1.1.0), glue, magrittr (>=
2.0.0), purrr (>= 0.2.3), R.cache (>= 0.15.0), rematch2 (>=
2.0.1), rlang (>= 0.1.1), rprojroot (>= 1.1), tibble (>=
1.4.2), tools, withr (>= 1.0.0), xfun (>= 0.1)",NA,"data.tree (>= 0.1.6), digest, dplyr, here, knitr, prettycode,
rmarkdown, roxygen2, rstudioapi (>= 0.7), testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"subplex","subplex","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.6",NA,"R(>= 2.5.1)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"SuppDists","SuppDists","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1-9.7",NA,"R (>= 3.3.0)",NA,NA,"RcppZiggurat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"survey","survey","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.1-1",NA,"R (>= 3.5.0), grid, methods, Matrix, survival","stats, graphics, splines, lattice, minqa, numDeriv, mitools
(>= 2.4)",NA,"foreign, MASS, KernSmooth, hexbin, RSQLite, quantreg,
parallel, CompQuadForm, DBI, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.1.0"
"survival","survival","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","3.2-13","recommended","R (>= 3.5.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"svglite","svglite","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.0.0",NA,"R (>= 3.0.0)","systemfonts (>= 1.0.0)","cpp11, systemfonts","htmltools, testthat, xml2 (>= 1.0.0), covr, fontquiver (>=
0.2.0), knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"sys","sys","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","3.4",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"systemfonts","systemfonts","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.3",NA,"R (>= 3.2.0)",NA,"cpp11 (>= 0.2.1)","testthat (>= 2.1.0), covr, knitr, rmarkdown, tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"tcltk","tcltk","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.1.2","base",NA,"utils",NA,NA,NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"tensor","tensor","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.5",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.1.0"
"terra","terra","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.4-22",NA,"R (>= 3.5.0)","methods, Rcpp","Rcpp","parallel, tinytest, ncdf4, sf (>= 0.9-8), deldir, XML, raster",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.0"
"testthat","testthat","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","3.1.1",NA,"R (>= 3.1)","brio, callr (>= 3.5.1), cli (>= 2.2.0), crayon (>= 1.3.4),
desc, digest, ellipsis (>= 0.2.0), evaluate, jsonlite,
lifecycle, magrittr, methods, pkgload, praise, processx, ps (>=
1.3.4), R6 (>= 2.2.0), rlang (>= 0.4.9), utils, waldo (>=
0.2.4), withr (>= 2.3.0)",NA,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), knitr, mockery,
rmarkdown, rstudioapi, shiny, usethis, vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"tibble","tibble","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","3.1.6",NA,"R (>= 3.1.0)","ellipsis (>= 0.3.2), fansi (>= 0.4.0), lifecycle (>= 1.0.0),
magrittr, methods, pillar (>= 1.6.2), pkgconfig, rlang (>=
0.4.3), utils, vctrs (>= 0.3.8)",NA,"bench, bit64, blob, brio, callr, cli, covr, crayon (>=
1.3.4), DiagrammeR, dplyr, evaluate, formattable, ggplot2, hms,
htmltools, knitr, lubridate, mockr, nycflights13, pkgbuild,
pkgload, purrr, rmarkdown, stringi, testthat (>= 3.0.2), tidyr,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"tidyr","tidyr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1.4",NA,"R (>= 3.1)","dplyr (>= 0.8.2), ellipsis (>= 0.1.0), glue, lifecycle,
magrittr, purrr, rlang, tibble (>= 2.1.1), tidyselect (>=
1.1.0), utils, vctrs (>= 0.3.6)","cpp11 (>= 0.2.6)","covr, data.table, jsonlite, knitr, readr, repurrrsive (>=
1.0.0), rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"tidyselect","tidyselect","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1.1",NA,"R (>= 3.2)","ellipsis, glue (>= 1.3.0), purrr (>= 0.3.2), rlang (>= 0.4.6),
vctrs (>= 0.3.0)",NA,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, testthat (>=
2.3.0), tibble (>= 2.1.3), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"tidytuesdayR","tidytuesdayR","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.1",NA,"R (>= 3.4.0)","readxl (>= 1.0.0), rvest (>= 0.3.2), tools (>= 3.1.0),
lubridate (>= 1.7.0), purrr (>= 0.2.5), readr (>= 1.0.0),
rstudioapi (>= 0.2), xml2 (>= 1.2.0), httr, jsonlite, magrittr,
usethis",NA,"testthat (>= 2.1.0), covr, pkgdown, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"tidyverse","tidyverse","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.3.1",NA,"R (>= 3.3)","broom (>= 0.7.6), cli (>= 2.4.0), crayon (>= 1.4.1), dbplyr
(>= 2.1.1), dplyr (>= 1.0.5), dtplyr (>= 1.1.0), forcats (>=
0.5.1), googledrive (>= 1.0.1), googlesheets4 (>= 0.3.0),
ggplot2 (>= 3.3.3), haven (>= 2.3.1), hms (>= 1.0.0), httr (>=
1.4.2), jsonlite (>= 1.7.2), lubridate (>= 1.7.10), magrittr
(>= 2.0.1), modelr (>= 0.1.8), pillar (>= 1.6.0), purrr (>=
0.3.4), readr (>= 1.4.0), readxl (>= 1.3.1), reprex (>= 2.0.0),
rlang (>= 0.4.10), rstudioapi (>= 0.13), rvest (>= 1.0.0),
stringr (>= 1.4.0), tibble (>= 3.1.0), tidyr (>= 1.1.3), xml2
(>= 1.3.2)",NA,"covr, feather, glue, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"timeDate","timeDate","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","3043.102",NA,"R (>= 2.15.1), graphics, utils, stats, methods",NA,NA,"date, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"tinytex","tinytex","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.36",NA,NA,"xfun (>= 0.29)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"TMB","TMB","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.8.1",NA,"R (>= 3.0.0)","graphics, methods, stats, utils, Matrix (>= 1.0-12)","Matrix, RcppEigen","numDeriv, parallel",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.2"
"tmvnsim","tmvnsim","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0-2",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"tools","tools","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.1.2","base",NA,NA,NA,"codetools, methods, xml2, curl, commonmark",NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"triebeard","triebeard","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.3.0",NA,NA,"Rcpp","Rcpp","knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"tseries","tseries","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.10-50",NA,"R (>= 2.10.0)","graphics, stats, utils, quadprog, zoo, quantmod (>= 0.4-9)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.2"
"tsibble","tsibble","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1.1",NA,"R (>= 3.2.0)","anytime (>= 0.3.1), dplyr (>= 1.0.0), ellipsis (>= 0.3.0),
generics, lifecycle, lubridate (>= 1.7.0), methods, rlang (>=
0.4.6), tibble (>= 3.0.0), tidyselect (>= 1.0.0), vctrs (>=
0.3.1)",NA,"covr, ggplot2 (>= 3.3.0), hms, knitr, nanotime, nycflights13
(>= 1.0.0), rmarkdown, scales (>= 1.1.0), spelling, testthat
(>= 3.0.0), tidyr (>= 1.1.0), timeDate",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"TTR","TTR","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.24.3",NA,NA,"xts (>= 0.10-0), zoo, curl","xts","RUnit","quantmod","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"tweenr","tweenr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.2",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.3), grDevices, farver, magrittr, rlang","Rcpp","testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"tzdb","tzdb","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.2.0",NA,"R (>= 3.3)",NA,"cpp11 (>= 0.4.0)","covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"units","units","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.7-2",NA,"R (>= 3.0.2)","Rcpp","Rcpp (>= 0.12.10)","udunits2, NISTunits, measurements, xml2, magrittr, pillar (>=
1.3.0), dplyr (>= 1.0.0), vctrs (>= 0.3.1), knitr, testthat (>=
3.0.0), ggforce, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"unmarked","unmarked","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1.1",NA,"R (>= 2.12.0), methods, lattice","graphics, lme4, MASS, Matrix, parallel, plyr, raster, Rcpp (>=
0.8.0), stats, TMB (>= 1.7.18), utils","Rcpp, RcppArmadillo, TMB",NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.0"
"urca","urca","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.3-0",NA,"R (>= 2.0.0), methods","nlme, graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
